Product,Color,Size,Attr 2 Name,Qty Avail Now,Qty WIP,Due WIP
47244,LYW,14,LIGHT YELLOW,0.00,0.00,
47244,LYW,16,LIGHT YELLOW,0.00,0.00,
47244,BKN,0,BLACK/NUDE,0.00,0.00,
47244,BKN,10,BLACK/NUDE,0.00,0.00,
47244,BKN,12,BLACK/NUDE,0.00,0.00,
47244,BKN,14,BLACK/NUDE,0.00,0.00,
47244,BKN,16,BLACK/NUDE,0.00,0.00,
47244,BKN,2,BLACK/NUDE,0.00,0.00,
47244,BKN,4,BLACK/NUDE,0.00,0.00,
47244,BKN,8,BLACK/NUDE,0.00,0.00,
47244,BKN,D0,BLACK/NUDE,0.00,0.00,
47244,IVO,8,IVORY,1.00,0.00,
47244,IVO,D0,IVORY,1.00,0.00,
47244,LIB,4,LIGHT BLUE,1.00,0.00,
47244,LYW,12,LIGHT YELLOW,1.00,0.00,
47244,LYW,2,LIGHT YELLOW,1.00,0.00,
47244,LYW,6,LIGHT YELLOW,1.00,0.00,
47244,LYW,8,LIGHT YELLOW,1.00,0.00,
47244,LYW,D0,LIGHT YELLOW,1.00,0.00,
47244,IVO,10,IVORY,2.00,0.00,
47244,LIB,0,LIGHT BLUE,2.00,0.00,
47244,LIB,2,LIGHT BLUE,2.00,0.00,
47244,LIB,8,LIGHT BLUE,2.00,0.00,
47244,IVO,0,IVORY,3.00,0.00,
47244,LIB,6,LIGHT BLUE,3.00,0.00,
47244,LYW,4,LIGHT YELLOW,3.00,0.00,
47244,IVO,2,IVORY,4.00,0.00,
47244,IVO,4,IVORY,4.00,0.00,
47244,IVO,6,IVORY,6.00,0.00,
47246,BLG,2,BLACK/GOLD,0.00,7.00,02/16/2026
47246,IVG,2,IVORY/GOLD,0.00,5.00,02/16/2026
47246,BLG,0,BLACK/GOLD,0.00,2.00,02/16/2026
47246,BLG,6,BLACK/GOLD,0.00,2.00,02/16/2026
47246,IVG,0,IVORY/GOLD,1.00,2.00,02/16/2026
47246,BLG,10,BLACK/GOLD,0.00,1.00,02/16/2026
47246,BLG,8,BLACK/GOLD,0.00,1.00,02/16/2026
47246,IVG,12,IVORY/GOLD,0.00,1.00,02/16/2026
47246,BLG,D0,BLACK/GOLD,1.00,1.00,02/16/2026
47246,IVG,6,IVORY/GOLD,1.00,1.00,02/16/2026
47246,BLG,12,BLACK/GOLD,0.00,0.00,
47246,BLG,14,BLACK/GOLD,0.00,0.00,
47246,BLG,16,BLACK/GOLD,0.00,0.00,
47246,IVG,10,IVORY/GOLD,0.00,0.00,
