"STYLE#    ","COLOR                                             ","GROUP ALIKE","OOO       ","OO        ","0         ","2         ","4         ","6         ","8         ","10        ","12        ","14        ","16        ","18        ","20        ","22        ","24        ","26        ","28        ","30        ","32        ","LIST PRICE","ORIG LIST PRICE","SEASON","CURR SEASON"
"40063     ","LIGHT BLUE                                        ","AL         ","0         ","0         ","0         ","2         ","1         ","0         ","0         ","0         ","0         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","94.00     ","94.00          ","F25   ","F25        "
"40063     ","FRENCH VANILLA                                    ","AL         ","2         ","3         ","1         ","0         ","1         ","0         ","0         ","1         ","1         ","1         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","94.00     ","94.00          ","F25   ","F25        "
"40083     ","BARBIE OPAL                                       ","ST         ","2         ","2         ","1         ","0         ","1         ","3         ","4         ","1         ","1         ","3         ","2         ","2         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","139.00    ","139.00         ","F25   ","F25        "
"40089     ","ELECTRIC FUCHSIA                                  ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","64.00     ","64.00          ","F25   ","F25        "
"40092     ","CELADON                                           ","ST         ","1         ","2         ","0         ","0         ","0         ","3         ","0         ","3         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","124.00    ","124.00         ","F25   ","F25        "
"40096     ","RASPBERRY                                         ","ST         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"40096     ","COBALT                                            ","ST         ","0         ","1         ","1         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","149.00    ","149.00         ","F25   ","F25        "
"40097     ","BLACK-PINK                                        ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","1         ","1         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","174.00    ","174.00         ","F25   ","F25        "
"40099     ","RED                                               ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","79.00     ","79.00          ","F25   ","F25        "
"40099     ","PINE                                              ","ST         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","2         ","0         ","1         ","2         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","79.00     ","79.00          ","F25   ","F25        "
